Manufacturer,Model,Unit Sales,Price,Retention Value,Engine Size,Horsepower,HP Level
Toyota,4Runner,68411,22288.0,GOOD,2.7,150,Medium HP
Toyota,Land Cruiser,9835,51728.0,POOR,4.7,230,Medium HP
Volkswagen,Golf,9761,14900.0,GOOD,2.0,115,Medium HP
Volkswagen,Jetta,83721,16700.0,GOOD,2.0,115,Medium HP
Volkswagen,Passat,51102,21200.0,GOOD,1.8,150,Medium HP
Volkswagen,Cabrio,9569,19990.0,GOOD,2.0,115,Medium HP
Volkswagen,GTI,5596,17500.0,GOOD,2.0,115,Medium HP
Volkswagen,Beetle,49463,15900.0,GOOD,2.0,115,Medium HP
Volvo,S40,16957,23400.0,POOR,1.9,160,Medium HP
Volvo,V40,3545,24400.0,POOR,1.9,160,Medium HP
Volvo,S70,15245,27500.0,POOR,2.4,168,Medium HP
Volvo,V70,17531,28800.0,GOOD,2.4,168,Medium HP
Volvo,C70,3493,45500.0,GOOD,2.3,236,Medium HP
Volvo,S80,18969,36000.0,GOOD,2.9,201,Medium HP
