longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.300003,37.810001,52,1010,209,604,187,1.166700,78400,NEAR BAY
-122.300003,37.810001,48,1455,354,788,332,0.805600,84400,NEAR BAY
-122.290001,37.799999,52,1027,244,492,147,2.609400,81300,NEAR BAY
-122.300003,37.810001,52,572,109,274,82,1.851600,85000,NEAR BAY
-122.290001,37.810001,46,2801,644,1823,611,0.980200,129200,NEAR BAY
-122.290001,37.810001,26,768,152,392,127,1.771900,82500,NEAR BAY
-122.290001,37.810001,46,935,297,582,277,0.728600,95200,NEAR BAY
-122.290001,37.810001,49,844,204,560,152,1.750000,75000,NEAR BAY
-122.290001,37.810001,46,12,4,18,7,0.499900,67500,NEAR BAY
-122.290001,37.810001,20,835,161,290,133,2.483000,137500,NEAR BAY
-122.279999,37.810001,17,1237,462,762,439,0.924100,177500,NEAR BAY
-122.279999,37.810001,36,2914,562,1236,509,2.446400,102100,NEAR BAY
-122.279999,37.810001,19,1207,243,721,207,1.111100,108300,NEAR BAY
-122.290001,37.810001,23,1745,374,1054,325,0.802600,112500,NEAR BAY
-122.279999,37.799999,38,684,176,344,155,2.011400,131300,NEAR BAY
-122.279999,37.810001,17,924,289,609,289,1.500000,162500,NEAR BAY
-122.269997,37.810001,52,210,56,183,56,1.166700,112500,NEAR BAY
-122.279999,37.810001,52,340,97,200,87,1.520800,112500,NEAR BAY
-122.279999,37.810001,52,386,164,346,155,0.807500,137500,NEAR BAY
-122.279999,37.810001,35,948,184,467,169,1.808800,118800,NEAR BAY
-122.279999,37.810001,52,773,143,377,115,2.408300,98200,NEAR BAY
-122.269997,37.810001,40,880,451,582,380,0.977000,118800,NEAR BAY
-122.269997,37.810001,10,875,348,546,330,0.760000,162500,NEAR BAY
-122.269997,37.799999,10,105,42,125,39,0.972200,137500,NEAR BAY
-122.269997,37.799999,52,249,78,396,85,1.243400,500001,NEAR BAY
-122.269997,37.799999,16,994,392,800,362,2.093800,162500,NEAR BAY
-122.279999,37.799999,52,215,87,904,88,0.866800,137500,NEAR BAY
-122.279999,37.799999,52,96,31,191,34,0.750000,162500,NEAR BAY
-122.269997,37.790001,27,1055,347,718,302,2.635400,187500,NEAR BAY
-122.269997,37.799999,39,1715,623,1327,467,1.847700,179200,NEAR BAY
-117.040001,32.799999,11,1802,440,630,428,2.033700,146700,<1H OCEAN
-121.290001,38.889999,10,653,120,407,146,3.388900,110800,INLAND
-118.150002,33.770000,39,2428,634,1312,612,2.721200,266300,NEAR OCEAN
-118.470001,33.990002,24,1438,454,665,416,2.975000,500001,<1H OCEAN
-121.769997,37.330002,9,3160,468,1675,470,7.544300,348400,<1H OCEAN
-118.500000,33.970001,29,2737,808,1157,696,5.128000,500001,<1H OCEAN
-122.959999,38.259998,20,1982,358,308,132,3.142900,240900,NEAR OCEAN
-118.389999,34.080002,27,6605,1710,2665,1520,3.808800,500001,<1H OCEAN
-117.910004,34.070000,36,1390,270,887,266,5.089700,189000,<1H OCEAN
-117.849998,33.849998,17,4678,1065,2427,1020,4.227600,254100,<1H OCEAN
-119.919998,38.910000,15,3831,625,984,328,5.071800,162500,INLAND
-122.489998,37.669998,29,3795,675,2494,696,5.284800,260300,NEAR OCEAN
-117.709999,33.650002,16,3774,456,1587,430,8.608800,307400,<1H OCEAN
-118.360001,33.910000,36,2064,474,1366,421,4.100000,243100,<1H OCEAN
-117.269997,33.040001,27,1839,392,1302,404,3.550000,214600,NEAR OCEAN
-121.959999,37.299999,23,4040,843,2181,843,4.040300,303400,<1H OCEAN
-122.160004,37.740002,46,1029,181,567,211,3.484400,129500,NEAR BAY
-117.470001,34.119999,6,10565,1767,5690,1555,4.179700,141000,INLAND
-117.720001,34.000000,15,4363,690,2410,666,5.482400,179700,INLAND
-118.309998,33.750000,34,2338,393,1031,373,6.287000,396400,NEAR OCEAN
-117.050003,32.570000,13,2880,576,2450,567,3.169600,138000,NEAR OCEAN
-122.169998,37.709999,38,890,200,481,198,3.244000,179800,NEAR BAY
-122.279999,37.490002,29,4148,635,1638,627,6.912000,457200,NEAR OCEAN
-117.910004,33.750000,8,2346,679,3842,674,3.063500,160000,<1H OCEAN
-119.250000,34.259998,30,2948,827,1635,750,2.670000,214900,NEAR OCEAN
-118.120003,33.860001,34,2116,427,972,396,4.851600,213600,<1H OCEAN
-120.040001,36.959999,23,2126,506,2091,491,1.371300,51800,INLAND
-118.230003,33.900002,45,1285,238,840,211,3.410700,112500,<1H OCEAN
-117.570000,33.910000,22,2620,396,1324,362,5.373500,214600,INLAND
-122.339996,37.549999,44,2465,328,843,324,6.953300,500001,NEAR OCEAN
-118.459999,34.049999,21,3639,1002,1489,983,4.619700,387500,<1H OCEAN
-122.190002,37.779999,52,2198,397,984,369,3.220000,156500,NEAR BAY
-117.989998,33.880001,15,2298,567,1261,527,4.242200,159400,<1H OCEAN
-119.050003,36.060001,23,2344,407,1184,406,3.162500,70600,INLAND
-119.190002,34.150002,31,4175,1004,3310,954,3.198900,185400,NEAR OCEAN
-121.620003,36.669998,45,1827,408,1507,410,2.894200,129000,<1H OCEAN
-116.769997,33.919998,19,2307,525,1266,437,1.687500,63000,INLAND
-119.099998,35.790001,19,1809,477,2051,416,1.814400,49800,INLAND
-119.059998,34.369999,32,3885,759,2504,736,3.645300,201700,<1H OCEAN
-121.860001,39.750000,18,1651,309,856,293,3.504600,118300,INLAND
-118.019997,34.130001,34,1966,319,980,297,7.730700,429000,INLAND
-118.050003,34.060001,25,1022,291,1570,297,3.023000,142000,<1H OCEAN
-118.089996,33.980000,37,1226,255,1068,271,3.160700,172200,<1H OCEAN
-122.510002,38.060001,24,9493,1935,5162,1880,3.074200,118800,NEAR BAY
-117.940002,34.060001,32,3418,662,2003,622,4.033300,210200,<1H OCEAN
-118.370003,34.020000,44,1944,458,981,377,2.615400,193200,<1H OCEAN
-118.260002,33.849998,24,9071,1335,4558,1327,5.542000,197500,<1H OCEAN
-121.279999,38.680000,16,3467,615,1478,601,3.750000,147300,INLAND
-118.110001,33.910000,29,889,166,597,163,4.960900,186700,<1H OCEAN
-117.199997,33.380001,14,5392,821,2350,810,5.050700,291500,<1H OCEAN
-118.199997,34.110001,52,1901,525,1856,480,3.000000,156400,<1H OCEAN
-118.379997,34.049999,40,2352,598,1133,563,3.238000,287500,<1H OCEAN
-117.180000,32.840000,30,2290,523,1272,472,3.560600,165100,NEAR OCEAN
-119.699997,34.400002,25,1858,493,865,460,3.093800,312500,NEAR OCEAN
-118.510002,34.299999,24,6145,868,2710,875,7.507800,344000,<1H OCEAN
-116.389999,33.689999,10,11659,2007,2186,1083,6.983300,238800,INLAND
-117.279999,32.830002,34,2392,653,933,619,3.730600,500000,NEAR OCEAN
-122.449997,40.849998,20,2701,573,892,358,2.773600,107800,INLAND
-117.160004,32.799999,37,422,79,211,80,3.062500,159700,NEAR OCEAN
-119.779999,36.650002,27,1226,240,706,211,2.770000,68400,INLAND
-122.160004,39.779999,32,1288,221,562,203,2.325000,69600,INLAND
-117.089996,32.720001,33,1096,240,716,224,1.694400,111800,NEAR OCEAN
-118.290001,33.919998,23,2503,532,1735,505,2.736800,162800,<1H OCEAN
-122.290001,37.549999,27,3789,874,2243,866,4.390000,270100,NEAR OCEAN
-120.760002,37.610001,30,816,159,531,147,3.260400,87900,INLAND
-118.580002,34.220001,35,2560,441,1428,468,5.634500,228200,<1H OCEAN
-117.669998,33.470001,22,2728,616,1081,566,1.639300,500001,<1H OCEAN
-119.160004,34.200001,35,2183,636,3504,623,1.970400,160300,NEAR OCEAN
-117.290001,33.180000,15,3780,792,1632,721,2.764400,111400,NEAR OCEAN
-119.570000,36.709999,10,1657,359,958,380,2.645800,84800,INLAND
-118.150002,34.189999,48,1854,360,1126,382,3.221600,161600,<1H OCEAN
-118.099998,34.009998,29,2077,564,2087,543,2.660000,189200,<1H OCEAN
-117.250000,33.080002,13,3651,465,1311,435,7.540200,340300,NEAR OCEAN
-118.139999,34.060001,39,2390,444,1246,422,3.785700,245700,<1H OCEAN
-118.209999,34.040001,47,1325,393,1557,352,2.800000,148400,<1H OCEAN
-120.660004,35.130001,41,2666,751,940,507,1.965300,236100,<1H OCEAN
-117.919998,33.750000,8,2325,598,1511,565,3.362900,137500,<1H OCEAN
-120.150002,39.360001,9,2254,400,694,243,5.685600,138100,INLAND
-118.080002,33.889999,28,1035,275,1545,269,3.035700,123400,<1H OCEAN
-122.070000,37.910000,28,1731,295,810,295,5.039100,259800,NEAR BAY
-117.180000,34.049999,29,3436,731,1323,676,2.494300,122300,INLAND
-117.930000,33.820000,28,2444,555,1848,567,3.017900,198800,<1H OCEAN
-117.169998,32.790001,43,1269,297,946,285,2.144700,133300,NEAR OCEAN
-119.550003,36.689999,21,1551,423,1519,406,1.713200,55900,INLAND
-122.019997,37.939999,23,3516,661,1465,623,4.256900,213100,NEAR BAY
-122.139999,37.439999,52,3117,468,1114,421,6.675600,500001,NEAR BAY
-121.919998,37.240002,26,6777,1051,3319,1061,6.366300,279400,<1H OCEAN
-121.820000,38.009998,42,1017,253,798,266,2.171900,99100,INLAND
-116.940002,32.799999,28,3042,729,1964,703,2.414100,137500,<1H OCEAN
-121.309998,37.959999,52,2654,468,1157,494,3.226000,107600,INLAND
-117.980003,33.810001,28,3528,816,2304,764,2.582000,181800,<1H OCEAN
-117.970001,34.049999,36,931,160,746,201,3.166700,158000,<1H OCEAN
-117.559998,33.939999,6,575,73,318,88,7.021500,257100,INLAND
-121.879997,37.439999,14,2073,343,1107,330,6.709300,311200,<1H OCEAN
-122.139999,37.410000,35,2419,426,949,433,6.458800,437100,NEAR BAY
-122.279999,37.860001,52,1659,367,788,346,2.821400,164300,NEAR BAY
-118.000000,33.910000,19,5166,770,2374,753,5.979000,285200,<1H OCEAN
-122.730003,38.259998,35,3941,645,1668,620,4.385000,317700,<1H OCEAN
-118.339996,34.020000,48,1614,320,684,318,4.221800,181000,<1H OCEAN
-121.769997,36.919998,9,4934,1112,3198,977,3.500000,194800,<1H OCEAN
-122.040001,37.389999,5,8745,2211,3959,2019,4.768500,280100,<1H OCEAN
-118.269997,34.090000,52,2327,555,1048,491,3.784700,252300,<1H OCEAN
-118.459999,34.259998,33,1358,247,738,235,5.094700,210300,<1H OCEAN
-122.199997,37.750000,36,606,132,531,133,1.580900,70000,NEAR BAY
-122.540001,38.360001,40,2725,531,1167,458,3.796900,202800,<1H OCEAN
-121.980003,38.369999,21,3027,675,2018,642,2.843800,111500,INLAND
-117.760002,34.070000,51,1538,394,1173,388,2.315600,109800,INLAND
-122.589996,38.439999,14,1665,390,505,348,3.183000,201200,<1H OCEAN
-117.760002,34.060001,30,1700,504,1719,459,2.227000,91900,INLAND
-117.919998,33.730000,17,1692,293,934,280,4.472800,205800,<1H OCEAN
-117.830002,33.880001,18,2112,340,1048,315,6.930800,231700,<1H OCEAN
-121.959999,38.330002,3,7985,1257,3664,1215,4.976000,158300,INLAND
-122.000000,38.349998,24,745,116,300,115,3.617600,158500,INLAND
-121.370003,38.580002,37,2839,390,1006,400,7.334300,280400,INLAND
-118.250000,34.009998,28,481,136,596,128,1.239600,90300,<1H OCEAN
-116.980003,32.750000,25,4137,662,1905,630,4.375000,214000,<1H OCEAN
-122.440002,37.779999,52,1118,279,514,284,2.419600,346200,NEAR BAY
-122.580002,38.580002,32,2723,637,1549,556,2.394200,183100,INLAND
-122.300003,38.320000,20,2063,486,1045,460,2.503500,153200,NEAR BAY
-121.389999,38.590000,33,2091,468,1053,470,2.226400,108100,INLAND
-118.449997,34.040001,19,3330,1010,1837,915,3.017300,393800,<1H OCEAN
-120.239998,37.209999,31,2447,465,1313,352,3.392900,93800,INLAND
-116.910004,32.820000,14,1978,424,1085,387,3.807300,170100,<1H OCEAN
-121.769997,37.680000,41,1501,299,629,288,4.680600,209400,INLAND
-117.870003,33.779999,30,2022,522,1196,463,3.745400,186000,<1H OCEAN
-118.129997,33.759998,52,2216,526,940,530,4.546900,381000,NEAR OCEAN
-118.250000,33.930000,42,819,233,899,228,1.134600,85400,<1H OCEAN
-117.050003,32.630001,31,4911,861,2334,843,4.195800,160100,NEAR OCEAN
-119.290001,36.340000,28,1440,431,2178,440,1.263400,50600,INLAND
-121.879997,37.330002,45,1192,371,1084,345,2.859400,205900,<1H OCEAN
-118.279999,34.020000,52,281,103,470,96,1.937500,38800,<1H OCEAN
-118.360001,34.049999,48,1835,380,956,370,3.281300,243600,<1H OCEAN
-118.309998,34.080002,49,2549,630,1539,594,2.621800,350900,<1H OCEAN
-118.010002,34.119999,32,1937,332,922,340,3.940000,278400,INLAND
-121.300003,38.740002,41,4374,1039,2387,959,2.361100,87900,INLAND
-118.379997,34.180000,27,4834,1527,3847,1432,2.144900,165300,<1H OCEAN
-117.099998,32.680000,42,2013,568,1920,557,2.072400,107600,NEAR OCEAN
-118.370003,33.849998,29,3662,586,1626,611,6.397400,410000,<1H OCEAN
-118.379997,34.060001,29,3946,1008,1676,876,2.782400,450000,<1H OCEAN
-122.010002,37.939999,26,1619,224,706,220,6.070400,268000,NEAR BAY
-121.389999,38.549999,18,1734,467,783,447,1.904400,154300,INLAND
-118.230003,34.209999,29,2584,608,1217,568,3.328700,273400,<1H OCEAN
-117.930000,33.849998,25,1026,288,1646,283,4.201900,163900,<1H OCEAN
-119.849998,36.799999,14,1876,324,1031,311,3.656300,88800,INLAND
-118.209999,34.040001,36,1825,479,2097,480,2.186200,135300,<1H OCEAN
-118.430000,34.220001,34,1588,360,1080,340,3.660000,184600,<1H OCEAN
-117.629997,33.470001,4,2320,405,1408,477,6.336900,256000,NEAR OCEAN
-118.000000,33.759998,12,1250,331,1047,334,3.062500,208800,<1H OCEAN
-119.489998,34.389999,17,4617,982,2303,923,3.922400,230600,NEAR OCEAN
-122.910004,39.029999,14,2374,557,723,427,1.353200,95800,INLAND
-121.980003,37.360001,34,1735,318,1019,301,4.562500,242700,<1H OCEAN
-117.879997,33.759998,37,2988,677,2354,666,3.434500,235500,<1H OCEAN
-116.970001,32.799999,15,3927,1018,2204,977,2.436700,111400,<1H OCEAN
-121.930000,36.630001,28,3983,852,1582,778,3.514700,313900,NEAR OCEAN
-117.989998,34.130001,37,1568,371,1618,350,2.960500,129400,INLAND
-117.059998,32.799999,17,2247,340,973,318,5.500000,222000,<1H OCEAN
-118.160004,34.029999,41,1377,293,1142,272,3.172400,141600,<1H OCEAN
-117.330002,34.060001,42,530,123,390,124,1.046900,67000,INLAND
-121.269997,38.110001,15,2039,384,1178,375,3.867200,120100,INLAND
-118.239998,34.200001,41,2067,452,1282,455,5.575600,309900,<1H OCEAN
-122.150002,37.740002,52,2898,557,1338,550,3.851000,183500,NEAR BAY
-122.070000,37.720001,26,3204,477,1411,484,5.483400,295200,NEAR BAY
-120.980003,37.650002,40,422,63,158,63,7.384100,172200,INLAND
-118.389999,34.080002,28,833,230,349,210,3.067000,375000,<1H OCEAN
-121.040001,39.080002,8,2870,526,1307,451,3.463000,201700,INLAND
-117.610001,34.340000,18,5210,912,1301,464,4.862300,176900,INLAND
-120.440002,34.939999,24,2481,476,1101,474,3.157600,147200,<1H OCEAN
-121.910004,37.230000,22,2614,453,1240,462,6.071200,271800,<1H OCEAN
-121.839996,37.340000,27,2512,526,3033,526,4.250000,162900,<1H OCEAN
-118.339996,34.060001,52,1311,310,707,290,3.481200,432800,<1H OCEAN
-120.800003,35.330002,20,2200,393,996,365,3.587000,330000,NEAR OCEAN
-118.129997,34.080002,40,1931,449,1367,446,2.575000,228400,<1H OCEAN
-119.330002,36.220001,9,3748,644,1955,620,4.201100,108100,INLAND
-118.709999,34.290001,24,2983,406,1203,381,6.323600,302000,<1H OCEAN
-117.360001,33.990002,42,1178,261,804,283,2.968800,92900,INLAND
-118.239998,33.990002,44,448,116,504,96,1.875000,98600,<1H OCEAN
-117.900002,33.880001,28,2696,346,947,356,9.005500,375400,<1H OCEAN
-117.760002,34.110001,22,4935,954,2874,938,3.982500,180500,INLAND
-118.169998,33.740002,36,2006,453,807,426,3.783800,500001,NEAR OCEAN
-122.320000,37.560001,26,2339,704,1283,654,3.162000,415000,NEAR OCEAN
-118.470001,34.009998,44,2175,475,1019,448,4.793000,470800,<1H OCEAN
-120.980003,37.680000,27,4006,762,1806,718,3.184800,112800,INLAND
-120.430000,34.950001,43,2020,344,692,310,3.681500,181800,<1H OCEAN
-117.919998,33.630001,24,1562,441,696,347,3.516100,236400,<1H OCEAN
-121.360001,38.599998,36,1275,227,530,245,3.875000,133600,INLAND
-118.059998,34.029999,36,21,7,21,9,2.375000,175000,<1H OCEAN
-119.160004,36.310001,7,2946,664,1608,622,1.682900,80200,INLAND
-121.320000,38.029999,25,2474,513,1947,524,2.574200,98400,INLAND
-116.500000,33.810001,26,5032,1229,3086,1183,2.539900,94800,INLAND
-118.360001,34.099998,52,1096,247,423,230,3.017900,500001,<1H OCEAN
-122.699997,39.000000,18,793,148,186,59,2.312500,162500,INLAND
-120.040001,36.930000,11,3606,699,2074,644,2.694100,63300,INLAND
-118.309998,33.880001,21,1490,430,686,400,2.381200,237500,<1H OCEAN
-122.320000,38.349998,20,3494,549,1673,541,5.571800,185200,INLAND
-121.519997,38.529999,31,3089,585,1366,561,4.288500,160300,INLAND
-121.199997,38.669998,26,1546,287,773,299,2.980300,115400,INLAND
-122.470001,37.779999,52,2388,507,1078,494,3.522100,443300,NEAR BAY
-121.099998,38.330002,14,1357,247,695,224,4.197400,157800,INLAND
-117.970001,34.099998,26,1399,277,1285,276,4.000000,160100,INLAND
-121.260002,38.270000,20,1314,229,712,219,4.412500,144600,INLAND
-122.300003,41.320000,13,2300,513,1151,488,2.157100,81500,INLAND
-121.949997,36.610001,31,1736,250,497,170,6.383500,407800,NEAR OCEAN
-119.690002,36.810001,15,2892,496,1634,501,4.493400,88000,INLAND
-118.349998,33.959999,21,2714,881,1549,853,1.209400,157500,<1H OCEAN
-121.709999,36.779999,19,2371,324,944,332,5.917500,240200,<1H OCEAN
-117.900002,34.130001,32,1640,391,1312,358,2.629200,136100,<1H OCEAN
-122.449997,37.709999,52,1658,322,1086,326,3.858300,261600,NEAR OCEAN
-118.410004,34.189999,39,1169,242,612,247,4.142900,200000,<1H OCEAN
-122.070000,37.660000,28,2280,610,1255,587,2.671900,161200,NEAR BAY
-121.889999,37.310001,52,1994,404,1014,389,4.388200,223600,<1H OCEAN
-118.410004,34.169998,35,2027,428,879,402,4.692000,330900,<1H OCEAN
-121.239998,38.790001,15,2615,485,1063,428,3.790400,173200,INLAND
-116.989998,33.750000,18,9601,2401,4002,2106,1.436600,77000,INLAND
-119.730003,36.619999,35,2080,365,1026,333,3.578100,92800,INLAND
-122.239998,37.759998,52,2646,581,1128,522,3.071800,266700,NEAR BAY
-117.889999,33.619999,24,1016,238,465,236,3.062500,93800,<1H OCEAN
-122.470001,37.759998,52,2465,489,1170,498,4.079300,306700,NEAR BAY
-117.129997,32.740002,52,1512,321,651,321,3.685200,185300,NEAR OCEAN
-121.910004,37.930000,13,1610,198,703,217,8.705900,329400,INLAND
-117.160004,32.910000,5,1619,272,1063,296,6.089100,214600,<1H OCEAN
-118.379997,34.070000,21,3653,956,1510,890,3.557300,500001,<1H OCEAN
-116.860001,33.049999,17,9044,1689,5030,1596,3.634800,164500,<1H OCEAN
-121.300003,38.720001,15,2514,482,1166,503,2.281300,131900,INLAND
-116.940002,33.770000,14,7240,1410,2708,1240,2.414500,137600,INLAND
-116.580002,32.689999,19,4085,876,2133,718,2.919000,116500,INLAND
-122.010002,37.560001,6,3028,778,1531,736,4.425900,158000,NEAR BAY
-117.099998,32.759998,31,987,267,619,250,2.928600,151800,NEAR OCEAN
-118.010002,34.099998,35,2120,412,1375,405,3.460900,166300,INLAND
-117.690002,33.470001,23,3499,722,1480,634,3.860000,300000,<1H OCEAN
-121.419998,38.639999,44,1728,367,1042,349,1.603300,58500,INLAND
-122.180000,37.740002,35,504,126,323,109,1.843800,90500,NEAR BAY
-116.489998,33.799999,13,8789,1875,1274,688,3.739600,148900,INLAND
-117.900002,33.720001,36,443,117,577,115,3.687500,137500,<1H OCEAN
-118.110001,33.980000,36,446,108,410,117,3.394200,147200,<1H OCEAN
-122.400002,37.720001,41,1975,440,1528,424,3.862500,218300,NEAR BAY
-120.400002,34.860001,11,1633,348,504,327,2.050800,275000,<1H OCEAN
-122.449997,37.720001,52,982,197,653,171,4.216700,231900,NEAR BAY
-115.559998,32.790001,20,2372,835,2283,767,1.170700,62500,INLAND
-118.160004,34.110001,48,1091,236,632,234,3.723500,263600,<1H OCEAN
-116.980003,32.730000,16,952,143,530,143,5.086400,175300,<1H OCEAN
-121.870003,37.419998,19,12128,2112,6810,2040,6.441900,264500,<1H OCEAN
-121.239998,37.950001,36,361,63,169,62,3.773400,63800,INLAND
-121.660004,39.150002,22,2144,376,1200,370,3.442600,102400,INLAND
-121.410004,38.520000,25,3087,720,2529,708,1.868900,66800,INLAND
-116.980003,33.259998,12,5898,1002,3129,945,4.764700,254100,<1H OCEAN
-118.160004,33.849998,36,2668,473,1315,478,4.071400,215600,<1H OCEAN
-117.199997,34.040001,24,1587,222,676,234,6.071500,173400,INLAND
-118.029999,33.860001,19,1795,328,1014,322,4.535000,289300,<1H OCEAN
-122.639999,38.230000,52,1075,249,519,210,3.076900,230900,<1H OCEAN
-121.000000,37.250000,31,1923,341,806,349,3.173800,97600,INLAND
-121.300003,39.000000,16,3155,541,1630,540,4.028200,126400,INLAND
-121.290001,38.150002,23,4183,633,1886,628,4.878700,175300,INLAND
-121.699997,36.480000,19,2150,479,1052,428,3.503900,288400,<1H OCEAN
-120.239998,38.009998,11,1214,228,633,199,3.125000,148600,INLAND
-122.540001,37.980000,52,1758,316,607,264,5.508300,371900,NEAR BAY
-122.480003,37.779999,44,3371,794,1738,753,3.165300,335300,NEAR BAY
-117.239998,34.150002,23,3847,608,1621,630,4.611100,128400,INLAND
-121.309998,38.970001,16,1210,228,726,222,2.708300,82100,INLAND
-118.050003,34.110001,42,3677,627,1779,622,5.150900,426500,INLAND
-118.209999,34.080002,26,2574,807,3163,802,1.949500,173200,<1H OCEAN
-118.309998,33.930000,43,1834,292,997,295,4.946400,150300,<1H OCEAN
-118.010002,33.959999,36,1805,288,882,308,5.305400,273500,<1H OCEAN
-122.330002,37.570000,27,3085,876,1453,896,3.433300,290000,NEAR OCEAN
-117.370003,33.189999,18,975,382,650,286,1.956200,192500,NEAR OCEAN
-117.360001,34.000000,19,4592,895,2769,838,3.362200,105100,INLAND
-118.209999,34.119999,52,1590,360,1127,321,3.462500,173900,<1H OCEAN
-118.230003,33.900002,34,2462,553,2334,502,1.641000,96800,<1H OCEAN
-120.419998,34.869999,18,2505,376,1162,382,4.835900,195700,<1H OCEAN
-120.940002,39.049999,8,3758,717,1744,661,3.197200,151500,INLAND
-122.010002,37.580002,17,4313,717,2629,721,5.757900,231800,NEAR BAY
-122.440002,37.730000,52,2381,492,1485,447,4.389800,270000,NEAR BAY
-117.059998,32.549999,5,3223,940,3284,854,1.438400,108800,NEAR OCEAN
-118.199997,33.770000,52,1375,457,1089,317,2.234400,200000,NEAR OCEAN
-117.660004,34.090000,26,1151,200,593,188,3.666700,166300,INLAND
-118.129997,34.020000,36,984,275,1024,284,2.125000,153500,<1H OCEAN
-122.690002,38.349998,16,1689,254,921,270,4.444400,191800,<1H OCEAN
-121.360001,38.009998,16,2178,667,1192,579,2.333900,87100,INLAND
-118.389999,33.840000,16,2472,572,965,529,5.137000,348600,<1H OCEAN
-117.180000,32.820000,25,1756,301,722,312,4.562500,162300,NEAR OCEAN
-121.260002,37.930000,33,2109,531,2248,588,1.458300,53000,INLAND
-122.050003,37.380001,24,2424,501,1367,507,4.072000,364200,<1H OCEAN
-117.699997,35.639999,8,2683,416,1154,399,5.862500,109400,INLAND
-119.529999,34.400002,14,1671,383,1079,365,3.138900,248700,<1H OCEAN
-120.500000,37.369999,18,8606,1678,5303,1644,2.401200,79700,INLAND
-121.760002,37.669998,6,3023,518,1225,468,6.370500,350000,INLAND
-118.370003,34.070000,52,2195,435,884,432,5.240000,486400,<1H OCEAN
-118.370003,34.220001,17,1787,463,1671,448,3.552100,151500,<1H OCEAN
-117.230003,33.189999,22,2554,447,1147,422,3.634600,192500,<1H OCEAN
-122.489998,37.759998,49,1637,304,729,281,4.328100,323100,NEAR BAY
-118.360001,33.990002,35,3702,648,1449,614,5.319400,313700,<1H OCEAN
-117.870003,33.639999,26,3521,455,1336,451,10.284900,500001,<1H OCEAN
-119.639999,36.330002,41,3095,766,1852,721,1.452400,51700,INLAND
-122.080002,40.090000,19,2611,503,1185,483,2.365700,94000,INLAND
-121.510002,38.540001,34,2815,479,1075,471,3.979200,164800,INLAND
